"2019-10-24 18:24:01,956 [<string>:1] j"
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,263 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,264 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,265 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,265 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,265 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,266 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,266 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,266 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,267 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,267 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,267 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,267 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,268 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,268 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,269 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,270 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,270 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,271 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,271 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,271 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,272 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,272 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:49:19,272 [api.py:479] No info on imdb for tmdb id: 1399 : Game of Thrones "
"2019-10-26 02:57:02,866 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 02:57:41,554 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 02:58:10,820 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 02:58:22,027 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 02:58:22,028 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 03:01:00,088 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 03:01:00,101 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 03:01:00,102 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 03:01:00,104 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 03:01:00,105 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 12:33:19,376 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 12:33:19,381 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 12:33:19,382 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 12:33:19,383 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 12:33:19,385 [api.py:479] No info on imdb for tmdb id: 60735 : The Flash "
"2019-10-26 15:38:52,682 [api.py:415] Failed to get info for:1399: 'producers'"
"2019-10-26 15:38:54,332 [api.py:415] Failed to get info for:60735: 'producers'"
"2019-10-26 15:47:14,166 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:48:51,826 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:48:51,827 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:48:51,829 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:48:51,830 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:49:41,243 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash"
"2019-10-26 15:51:28,493 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 1"
"2019-10-26 15:51:28,494 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 2"
"2019-10-26 15:51:28,494 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 3"
"2019-10-26 15:51:28,495 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 4"
"2019-10-26 15:51:28,497 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 0 Episode 5"
"2019-10-26 15:51:28,616 [api.py:516] No info on imdb for tmdb id: 60735 : The Flash Season 6 Episode 8"
"2019-10-26 15:51:40,623 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 1"
"2019-10-26 15:51:40,623 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 2"
"2019-10-26 15:51:40,624 [api.py:516] No info on imdb for tmdb id: 1399 : Game of Thrones Season 0 Episode 3"
